date,hour,event_type,description,program
2017-05-14,10:00,,Passation de pouvoir et cérémonie d'investiture,"[""Discours d'investiture du président de la République"", ""Cérémonie d'installation à l'Elysée""]"
2017-05-14,12:00,,Cérémonie à l'hôtel de Ville de Paris,"[""Cérémonie à l'hôtel de Ville de Paris""]"
2017-05-17,20:00,,"Dîner avec M. Donald Tusk, Président du Conseil européen",[]
2017-05-18,11:00,,Conseil des ministres,"['Conseil des ministres', 'Photo de famille du gouvernement']"
2017-05-18,14:30,,Conseil de défense,"['Conseil de défense', 'Conseil de défense']"
2017-05-21,20:00,,"Réception de M. Paolo GENTILONI, Président du Conseil des ministres de la République italienne","['Réception de M. Paolo GENTILONI, Président du Conseil des ministres de la République italienne', 'Déclaration conjointe avec M. Paolo GENTILONI, Président du Conseil des ministres de la République italienne']"
2017-05-23,09:00,,"Entretien avec M. Laurent BERGER, Secrétaire général de la CFDT","['Entretien avec M. Laurent BERGER, Secrétaire général de la CFDT']"
2017-05-23,10:00,,"Entretien avec M. Philippe MARTINEZ, Secrétaire général de la CGT","['Entretien avec M. Philippe MARTINEZ, Secrétaire général de la CGT']"
2017-05-23,11:00,,"Entretien avec M. Jean-Claude MAILLY, Secrétaire général de FO","['Entretien avec M. Jean-Claude MAILLY, Secrétaire général de FO']"
2017-05-23,12:00,,"Entretien avec M. Pierre GATTAZ, Président du MEDEF","['Entretien avec M. Pierre GATTAZ, Président du MEDEF']"
2017-05-23,14:30,,Déplacement à l'ambassade de Grande-Bretagne,"[""Déclaration à l'ambassade de Grande-Bretagne"", ""Déplacement à l'ambassade de Grande-Bretagne""]"
2017-05-23,15:00,,"Entretien avec M. François ASSELIN, Président de la CPME","['Entretien avec M. François ASSELIN, Président de la CPME']"
2017-05-23,16:00,,"Entretien avec M. Alain GRISET, Président de l’U2P","['Entretien avec M. Alain GRISET, Président de l’U2P']"
2017-05-23,17:00,,"Entretien avec M. François HOMMERIL, Président de la CFE-CGC","['Entretien avec M. François HOMMERIL, Président de la CFE-CGC']"
2017-05-23,18:00,,"Entretien avec M. Philippe LOUIS, Président de la CFTC","['Entretien avec M. Philippe LOUIS, Président de la CFTC']"
2017-05-24,08:30,,"Entretien avec M. Edouard PHILIPPE, Premier Ministre",[]
